"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_account_template_0_3102","Reservas","3102","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310201","Reserva Legal","310201","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_3103","Resultados Por Aplicar","3103","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310301","Utilidades de Ejercicios Anteriores","310301","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310302","Utilidad del Presente Ejercicio","310302","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310303","Perdida de Ejercicios Anteriores","310303","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310304","Perdida del Presente Ejercicio","310304","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_3104","Superàvit Por Revaluaciones","3104","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_3105","Resultado Integral Neto","3105","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310501","Resultado Integral del Periodo","310501","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310502","Resultado Integral Neto de Ejercicios Anteriores","310502","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310503","Cambios de Valor Razonable de Bitcoin","310503","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_4","CUENTAS DE RESULTADO DEUDORAS","4","account.data_account_type_expenses","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_41","COSTOS Y GASTOS DE OPERACION","41","account.data_account_type_expenses","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_4101",Costos,"4101","account.data_account_type_expenses","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_410101","Costo de Ventas","410101","account.data_account_type_expenses","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_410102","Costos por Servicios","410102","account.data_account_type_expenses","l10n_chart_sv.account_chart_template_0","FALSE"
